no,device_id,pm25,pm10,temp,humi,reg_date
3546513,D0012,13.2,13.3,16.1,51.6,2023-03-25 14:21:23.383935
3546532,D0012,13.2,13.3,16.1,52.2,2023-03-25 14:22:24.332084
3546551,D0012,13.2,13.6,16.1,53.3,2023-03-25 14:23:24.341424
3546570,D0012,12.8,13.1,16.2,53.0,2023-03-25 14:24:24.343042
3546589,D0012,13.1,13.5,16.2,51.9,2023-03-25 14:25:24.338954
3546608,D0012,13.6,14.1,16.1,53.5,2023-03-25 14:26:23.357924
3546627,D0012,12.6,12.8,16.1,52.8,2023-03-25 14:27:24.342664
3546646,D0012,13.8,14.3,16.0,52.2,2023-03-25 14:28:24.351931
3546665,D0012,12.6,13.0,16.1,51.8,2023-03-25 14:29:24.354653
3546684,D0012,13.6,14.0,16.4,52.5,2023-03-25 14:30:23.363612
3546703,D0012,12.7,13.0,16.4,52.1,2023-03-25 14:31:24.369253
3546722,D0012,13.6,14.2,16.4,52.9,2023-03-25 14:32:24.368393
3546741,D0012,13.1,13.4,16.5,53.3,2023-03-25 14:33:24.370792
3546760,D0012,13.4,13.4,16.6,53.0,2023-03-25 14:34:23.367514
3546779,D0012,13.1,13.3,16.6,51.8,2023-03-25 14:35:23.383926
3546798,D0012,13.2,13.4,16.5,51.7,2023-03-25 14:36:23.381768
3546817,D0012,13.2,13.4,16.5,52.2,2023-03-25 14:37:23.382826
3546836,D0012,14.3,14.9,16.4,51.7,2023-03-25 14:38:24.379641
3546855,D0012,13.1,13.5,16.5,52.2,2023-03-25 14:39:24.382942
3546874,D0012,13.6,13.9,16.5,51.4,2023-03-25 14:40:23.395301
3546893,D0012,13.2,13.5,16.5,53.0,2023-03-25 14:41:23.407361
3546912,D0012,13.0,13.6,16.4,52.9,2023-03-25 14:42:23.398912
3546931,D0012,14.2,14.8,16.4,53.3,2023-03-25 14:43:23.404174
3546950,D0012,14.1,14.7,16.4,52.6,2023-03-25 14:44:24.410152
3546969,D0012,12.7,13.2,16.2,51.9,2023-03-25 14:45:24.427395
3546988,D0012,15.2,15.9,16.1,52.2,2023-03-25 14:46:24.434007
