 format: day,hour,value location:81_75 Start : 20230101 
 20, 0900, 353.000000 
 20, 1000, 349.000000 
 20, 1100, 12.000000 
 20, 1200, 169.000000 
 20, 1300, 38.000000 
 20, 1400, 38.000000 
 20, 1500, 42.000000 
 20, 1600, 18.000000 
 20, 1700, 26.000000 
 20, 1800, 22.000000 
 20, 1900, 50.000000 
 20, 2000, 41.000000 
 20, 2100, 0.000000 
 20, 2200, 45.000000 
 20, 2300, 148.000000 
 21, 0000, 67.000000 
 21, 0100, 193.000000 
 21, 0200, 36.000000 
 21, 0300, 285.000000 
 21, 0400, 252.000000 
 21, 0500, 178.000000 
 21, 0600, 102.000000 
 21, 0700, 158.000000 
 21, 0800, 27.000000 
 21, 0900, 42.000000 
 21, 1000, 18.000000 
 21, 1100, 15.000000 
 21, 1200, 59.000000 
 21, 1300, 90.000000 
 21, 1400, 88.000000 
 21, 1500, 0.000000 
 21, 1600, 0.000000 
 21, 1700, 0.000000 
 21, 1800, 40.000000 
 21, 1900, 111.000000 
 21, 2000, 20.000000 
 21, 2100, 338.000000 
 21, 2200, 196.000000 
 21, 2300, 84.000000 
 22, 0000, 65.000000 
 22, 0100, 237.000000 
 22, 0200, 310.000000 
 22, 0300, 24.000000 
 22, 0400, 79.000000 
 22, 0500, 74.000000 
 22, 0600, 10.000000 
 22, 0700, 51.000000 
 22, 0800, 0.000000 
 22, 0900, 54.000000 
 22, 1000, 0.000000 
 22, 1100, 88.000000 
 22, 1200, 25.000000 
 22, 1300, 27.000000 
 22, 1400, 18.000000 
 22, 1500, 0.000000 
 22, 1600, 340.000000 
 22, 1700, 56.000000 
 22, 1800, 50.000000 
 22, 1900, 0.000000 
 22, 2000, 0.000000 
 22, 2100, 0.000000 
 22, 2200, 75.000000 
 22, 2300, 0.000000 
 23, 0000, 32.000000 
 23, 0100, 74.000000 
 23, 0200, 248.000000 
 23, 0300, 64.000000 
 23, 0400, 66.000000 
 23, 0500, 68.000000 
 23, 0600, 104.000000 
 23, 0700, 115.000000 
 23, 0800, 69.000000 
 23, 0900, 39.000000 
 23, 1000, 346.000000 
 23, 1100, 9.000000 
 23, 1200, 0.000000 
 23, 1300, 328.000000 
 23, 1400, 22.000000 
 23, 1500, 344.000000 
 23, 1600, 14.000000 
 23, 1700, 358.000000 
 23, 1800, 352.000000 
 23, 1900, 339.000000 
 23, 2000, 355.000000 
 23, 2100, 338.000000 
 23, 2200, 317.000000 
 23, 2300, 333.000000 
 24, 0000, 329.000000 
 24, 0100, 304.000000 
 24, 0200, 319.000000 
 24, 0300, 298.000000 
 24, 0400, 298.000000 
 24, 0500, 323.000000 
 24, 0600, 323.000000 
 24, 0700, 311.000000 
 24, 0800, 325.000000 
 24, 0900, 322.000000 
 24, 1000, 338.000000 
 24, 1100, 359.000000 
 24, 1200, 350.000000 
 24, 1300, 360.000000 
 24, 1400, 24.000000 
 24, 1500, 37.000000 
 24, 1600, 18.000000 
 24, 1700, 358.000000 
 24, 1800, 80.000000 
 24, 1900, 359.000000 
